"REF_DATE","GEO","DGUID","Statistics (6B)","Age (15A)","Gender (3)","Highest certificate, diploma or degree (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Northwest Territories","2021A000261","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","172.1.1.1.10","2.8","","","","1"
"2021","Northwest Territories","2021A000261","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","172.1.1.1.11","22.2","","","","1"
"2021","Nunavut","2021A000262","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","174.1.1.1.1","100.0","","","","1"
"2021","Nunavut","2021A000262","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","174.1.1.1.2","51.9","","","","1"
"2021","Nunavut","2021A000262","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","174.1.1.1.3","18.5","","","","1"
"2021","Nunavut","2021A000262","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","174.1.1.1.7","2.8","","","","1"
"2021","Nunavut","2021A000262","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","174.1.1.1.8","2.2","","","","1"
"2021","Nunavut","2021A000262","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","174.1.1.1.9","12.6","","","","1"
"2021","Nunavut","2021A000262","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","174.1.1.1.10","1.4","","","","1"
"2021","Nunavut","2021A000262","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","174.1.1.1.11","10.6","","","","1"


